,level,level_name,field_of_study,academic_field,academic_field_imputed
279,bachelor,bachelor,"bachelor of arts, anthropology and psychology",,<NA>
280,bachelor,bachelor,"bachelor of arts, communication and media management",,<NA>
281,bachelor,bachelor,"bachelor of arts, cultural studies",,<NA>
282,bachelor,bachelor,"bachelor of arts, economics",economics,economics
283,bachelor,bachelor,"bachelor of arts, economics and political science",,<NA>
284,bachelor,bachelor,"bachelor of arts, english and journalism",,<NA>
285,bachelor,bachelor,"bachelor of arts, mass communications",,<NA>
286,bachelor,bachelor,"bachelor of arts, political science",political science,political science
287,bachelor,bachelor,bachelor of business honours,,<NA>
288,bachelor,bachelor,"bachelor of business honours, marketing",marketing,marketing
289,bachelor,bachelor,"bachelor of business hons, marketing",marketing,marketing
290,bachelor,bachelor,"bachelor of business marketing, marketing",marketing,marketing
291,bachelor,bachelor,"bachelor of business admin finance, business administration and management, general",,<NA>
292,bachelor,bachelor,bachelor of business administration bba,,<NA>
293,bachelor,bachelor,"bachelor of business administration bba honours, business administration and management, general",,<NA>
294,bachelor,bachelor,"bachelor of business administration bba hons, business administration",,<NA>
295,bachelor,bachelor,"bachelor of business administration bba marketing, with a second major in communications and new media",,<NA>
296,bachelor,bachelor,"bachelor of business administration bba, accounting and business management",,<NA>
297,bachelor,bachelor,"bachelor of business administration bba, accounting, operations management",operations management,operations management
298,bachelor,bachelor,"bachelor of business administration bba, banking and finance",,<NA>
299,bachelor,bachelor,"bachelor of business administration bba, business administration",,<NA>
300,bachelor,bachelor,"bachelor of business administration bba, business administration and management, general",,<NA>
301,bachelor,bachelor,"bachelor of business administration bba, business, management, marketing, and related support services",,<NA>
302,bachelor,bachelor,"bachelor of business administration bba, business corporate communications",,<NA>
303,bachelor,bachelor,"bachelor of business administration bba, finance and financial management services",,<NA>
304,bachelor,bachelor,"bachelor of business administration bba, finance, general",,<NA>
305,bachelor,bachelor,"bachelor of business administration bba, first class honours",,<NA>
306,bachelor,bachelor,"bachelor of business administration bba, global business and marketing",,<NA>
307,bachelor,bachelor,"bachelor of business administration bba, information management internet service and social networks",information management,information management
308,bachelor,bachelor,"bachelor of business administration bba, international business and chinese enterprise",,<NA>
309,bachelor,bachelor,"bachelor of business administration bba, international business management",,<NA>
310,bachelor,bachelor,"bachelor of business administration bba, management information systems, general",,<NA>
311,bachelor,bachelor,"bachelor of business administration bba, marketing",marketing,marketing
312,bachelor,bachelor,"bachelor of business administration bba, marketing and information system",,<NA>
313,bachelor,bachelor,"bachelor of business administration bba, marketing communications",,<NA>
314,bachelor,bachelor,bachelor of business administration finance,,<NA>
315,bachelor,bachelor,"bachelor of business administration b b a 2007, 2010 international business and marketing",,<NA>
316,bachelor,bachelor,"bachelor of business administration b b a magna cum laude, marketing",marketing,marketing
317,bachelor,bachelor,"bachelor of business administration b b a with merit, marketing",marketing,marketing
318,bachelor,bachelor,"bachelor of business administration b b a, business administration",business administration,business administration
319,bachelor,bachelor,"bachelor of business administration b b a, business administration and management, general",business administration,business administration
320,bachelor,bachelor,"bachelor of business administration b b a, business economics international business",business administration,business administration
321,bachelor,bachelor,"bachelor of business administration b b a, business operations management",business administration,business administration
322,bachelor,bachelor,"bachelor of business administration b b a, business, management and marketing",marketing,marketing
323,bachelor,bachelor,"bachelor of business administration b b a, business, management, marketing, and related support services",business,business
324,bachelor,bachelor,"bachelor of business administration b b a, fiance and banking",,<NA>
325,bachelor,bachelor,"bachelor of business administration b b a, finance, general",,<NA>
326,bachelor,bachelor,"bachelor of business administration b b a, international business trade commerce",,<NA>
327,bachelor,bachelor,"bachelor of business administration b b a, marketing",marketing,marketing
328,bachelor,bachelor,"bachelor of business administration b b a, marketing and human resource management",human resources,human resources
329,bachelor,bachelor,"bachelor of business administration b b a, marketing and technopreneurship",marketing,marketing
330,bachelor,bachelor,"bachelor of business administration b b a, marketing major",marketing,marketing
331,bachelor,bachelor,"bachelor of business administration b b a, marketing marketing management, general",marketing,marketing
332,bachelor,bachelor,bachelor of business administration bba,,<NA>
333,bachelor,bachelor,"bachelor of business administration bba first class honours, tourism and hospitality management, human resources consulting",human resources,human resources
334,bachelor,bachelor,"bachelor of business administration bba ibgm, global business and finance",,<NA>
335,bachelor,bachelor,"bachelor of business administration bba, accounting",accounting,accounting
336,bachelor,bachelor,"bachelor of business administration bba, accounting and finance",,<NA>
337,bachelor,bachelor,"bachelor of business administration bba, business",business,business
338,bachelor,bachelor,"bachelor of business administration bba, business administration and management, general",,<NA>
339,bachelor,bachelor,"bachelor of business administration bba, business managerial economics",,<NA>
340,bachelor,bachelor,"bachelor of business administration bba, human resources development",human resources,human resources
341,bachelor,bachelor,"bachelor of business administration bba, human resources management and services",human resources,human resources
342,bachelor,bachelor,"bachelor of business administration bba, international business and global management",,<NA>
343,bachelor,bachelor,"bachelor of business administration bba, international business, marketing, management",,<NA>
344,bachelor,bachelor,"bachelor of business administration bba, marketing",marketing,marketing
345,bachelor,bachelor,"bachelor of business administration bba, marketing marketing management, general",,<NA>
346,bachelor,bachelor,"bachelor of business administration bba, professional accounting organizational management",,<NA>
347,bachelor,bachelor,bachelor of business administration honors,,<NA>
348,bachelor,bachelor,bachelor of business administration honors,business,business
349,bachelor,bachelor,"bachelor of business administration honours, accountancy and finance",,<NA>
350,bachelor,bachelor,"bachelor of business administration honours, business, major in marketing",,<NA>
351,bachelor,bachelor,"bachelor of business administration hons, operations and supply chain management, and management and human capital",,<NA>
352,bachelor,bachelor,"bachelor of business administration and analytics bba, business, management, analytics, statistics",,<NA>
353,bachelor,bachelor,"bachelor of business administration, marketing and management",,<NA>
354,bachelor,bachelor,"bachelor of business and commerce, accounting and finance",,<NA>
355,bachelor,bachelor,"bachelor of business and commerce, marketing banking and finance",,<NA>
356,bachelor,bachelor,"bachelor of business information systems bachelor of business, finance, general",,<NA>
357,bachelor,bachelor,bachelor of business management,business management,business management
358,bachelor,bachelor,"bachelor of business management bbm, finance",business management,business management
